Pp3c10_11020,16.04536136,16.06866878,16.26486403
Pp3c10_11040,2.816227945,2.963098228,3.319623675
Pp3c10_11042,0,0,0
Pp3c10_11080,0,0,0
Pp3c10_11120,0.044920613,0.134640791,0.046745004
Pp3c10_11150,1.051568246,0.764089959,0.696357635
Pp3c10_11160,0.243467364,0.608121684,0.633388663
Pp3c10_11170,0,0,0
Pp3c10_11180,0,0,0
Pp3c10_11190,6.625790399,6.298227291,4.661725903
Pp3c10_11200,0,0,0
Pp3c10_11210,0,0,0
Pp3c10_11219,0.881689336,0.917601431,1.414476036
Pp3c10_11240,13.57191163,17.36233828,17.56178855
Pp3c10_11250,3.277425229,2.530281035,3.203834472
Pp3c10_11280,0.680399014,0.566489881,0.747367649
Pp3c10_11290,8.577690805,9.316283811,8.887196948
Pp3c10_11330,0.806617962,0.867885233,0.839377671
Pp3c10_11348,4.642078203,5.013230614,5.640365431
Pp3c10_11360,30.93451935,35.66161495,33.95961333
Pp3c10_11390,10.29072588,10.108199,9.896495538
Pp3c10_11420,47.90829428,59.73077757,71.39144454
Pp3c10_11430,4.725663902,5.198866037,5.470128669
Pp3c10_11440,8.479912345,8.250507573,7.854100256
Pp3c10_11500,1.120844195,1.254217906,1.166365783
